filename,title,church,church_code,location,season,figures,tags,type
cbc-creed01,I believe in God,St. Columba,CBC,"Youngstown, OH",,Father,believe; God,stained glass
cbc-creed02,And in Jesus Christ,St. Columba,CBC,"Youngstown, OH",,Jesus,Christ; believe; Son,stained glass
cbc-creed03,Who was conceived,St. Columba,CBC,"Youngstown, OH",Christmas,Mary; Jesus; Holy Spirit,nativity; incarnation,stained glass
cbc-creed04,Suffered under Pontius Pilate,St. Columba,CBC,"Youngstown, OH",Holy Week; Lent,Jesus; Pilate,crucifixion; burial; death; cross,stained glass
cbc-creed05,He decended into Hell,St. Columba,CBC,"Youngstown, OH",Easter,Jesus,resurrection; descent; rose,stained glass
cbc-creed06,He acsended into heaven,St. Columba,CBC,"Youngstown, OH",Ascension; Christ the King,Jesus; Father,king; ascended; throne,stained glass
cbc-creed07,From thence he shall come,St. Columba,CBC,"Youngstown, OH",End Times,,judgment; Parousia; reconciliation; justice,stained glass
cbc-creed08,I believe in the Holy Ghost,St. Columba,CBC,"Youngstown, OH",Pentecost,Holy Spirit; Jesus; Peter,believe; Spirit; Ghost; Church; keys; dove,stained glass
cbc-creed09,The Holy Catholic Church,St. Columba,CBC,"Youngstown, OH",Christ the King,Jesus,Church; king; throne; saints,stained glass
cbc-creed10,The forgiveness of sins,St. Columba,CBC,"Youngstown, OH",Lent,Jesus,justice; reconciliation; forgiveness,stained glass
cbc-creed11,The resurrection of the body,St. Columba,CBC,"Youngstown, OH",End Times,angel,death; cross; resurrection; Parousia,stained glass
cbc-creed12,And life everlasting,St. Columba,CBC,"Youngstown, OH",,,saints; Parousia; heaven; resurrection,stained glass
scl-ascension,Ascension,St. Clement,SCL,"Sheboygan, WI",Ascension,Jesus; Mary; Peter; John; Apostles; angels,apostles; ascended,stained glass
scl-calling,Fishers of Men,St. Clement,SCL,"Sheboygan, WI",,Jesus; Peter; Andrew,fish; fishermen; fishers; calling; apostles; Church,stained glass
scl-children,Let the little children come to me,St. Clement,SCL,"Sheboygan, WI",,Jesus; Peter; John; children,child,stained glass
scl-clement,Consecration of St. Clement,St. Clement,SCL,"Sheboygan, WI",,Peter; Clement,ordination; apostles; Church; keys; holy orders,stained glass
scl-eucharist,Institution of the Lord's Supper,St. Clement,SCL,"Sheboygan, WI",Holy Week,Jesus; John; apostles; Judas,Eucharist; Thursday; last supper; institution,stained glass
scl-family,Holy Family,St. Clement,SCL,"Sheboygan, WI",Holy Family,Jesus; Mary; Joseph,labor; carpentry; carpenter; cross; mother,stained glass
scl-flight,Flight into Egypt,St. Clement,SCL,"Sheboygan, WI",Holy Family; Christmas,Jesus; Mary; Joseph; angel,flight; Egypt; donkey; mother,stained glass
scl-fount,Fountain,St. Clement,SCL,"Sheboygan, WI",,,water; baptism; blood,stained glass
scl-incense,Incense censer,St. Clement,SCL,"Sheboygan, WI",,,thurible; incense; censer; chi rho; prayer,stained glass
scl-mark-luke,Mark and Luke,St. Clement,SCL,"Sheboygan, WI",,Mark; Luke,saints; evangelists,stained glass
scl-matthew-john,Matthew and John,St. Clement,SCL,"Sheboygan, WI",,Matthew; John,saints; evangelists; apostles,stained glass
scl-nativity,Nativity,St. Clement,SCL,"Sheboygan, WI",Christmas; Epiphany,Jesus; Mary; Joseph; angels; shepherds; magi,nativity; incarnation; gifts; sheep,stained glass
scl-shepherd,I am the Good Shepherd,St. Clement,SCL,"Sheboygan, WI",,Jesus; Peter; shepherds,shepherd; parable; sheep,stained glass
scl-virtues,Theological Virtues,St. Clement,SCL,"Sheboygan, WI",,,faith; hope; love; cross; anchor; heart,stained glass
scl-wheat-wine,Elements of Communion,St. Clement,SCL,"Sheboygan, WI",,,wheat; grain; Eucharist; bread; wine; chalice; grapes; body; blood,stained glass
scm-agnes-lucy,Agnes and Lucy,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,Agnes; Lucy,saints; sheep; martyr; palm; palms,stained glass
scm-aloysius-stanislaus,Aloysius and Stanislaus,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,Aloysius; Stanislaus,saints,stained glass
scm-anthony-francis,Anthony and Francis,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,Anthony; Francis,saints; Assisi; Padua,stained glass
scm-baptistry,Baptism Font,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,Holy Spirit,baptism; chi rho; water; Spirit; Ghost,stained glass
scm-bells-lyre,Bells and Lyre,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,,music; instruments; bells; lyre; harp,stained glass
scm-bread,Body of Christ,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,,bread; grain; wheat; Eucharist,stained glass
scm-christ,Christ the King,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",Christ the King,Jesus; angels,throne; Church; king; incense; censer; thurible; Parousia; heaven,stained glass
scm-helena-elizabeth,Helena and Elizabeth,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,Helena; Elizabeth,saints; queen; chi rho; cross; Hungary,stained glass
scm-john-stephen,John and Stephen,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,John; Stephen,apostles; martyr; evangelist; palm; palms,stained glass
scm-mary,Mary,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,Mary; angels,queen; heaven; Church; assumption,stained glass
scm-narthex,Incense censer,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,,censer; incense; thurible; king,stained glass
scm-therese-rose,Therese and Rose,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,Therese; Rose,saints; Lisieux; Lima,stained glass
scm-trumpets-organ,Trumpets and Organ,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,,music; instruments; trumpet; organ,stained glass
scm-wine,Blood of Christ,Ss. Cyril and Methodius,SCM,"Sheboygan, WI",,,wine; grapes; chalice; Eucharist,stained glass
sje-baptism,Baptism,St. John the Baptist,SJE,"Kohler, WI",,Father; Son,baptism; water; cross,stained glass
sje-john1,Come follow me,St. John the Baptist,SJE,"Kohler, WI",,Jesus; Peter; Andrew; apostles,fish; fishermen; fishers; calling; Church; keys,stained glass
sje-john2,Master where dwellest Thou,St. John the Baptist,SJE,"Kohler, WI",,John the Baptist; John; Jesus,calling,stained glass
sje-john3,He was transfigured before them,St. John the Baptist,SJE,"Kohler, WI",Lent,Jesus; Peter; John; James; apostles; Moses; Elijah,transfiguration,stained glass
sje-john4,The disciple took her,St. John the Baptist,SJE,"Kohler, WI",Lent; Holy Week,John; Mary,cross; crucifixion; assumption; queen; Eucharist,stained glass
sje-john5,The disciple saw and believed,St. John the Baptist,SJE,"Kohler, WI",Easter,John; Jesus; Peter; Magdalene,resurrection; burial; rose,stained glass
sje-john6,In the name of Jesus Christ,St. John the Baptist,SJE,"Kohler, WI",,John; Peter; apostles,Church; calling; keys; holy orders; Christ,stained glass
sje-john7,These things I write,St. John the Baptist,SJE,"Kohler, WI",End Times,John; Father,sheep; heaven; Parousia; throne; ascended; king,stained glass
spc-cana,Wedding at Cana,St. Peter Claver,SPC,"Sheboygan, WI",,Jesus; Mary,wine; water; wedding; marriage; Cana; matrimony,stained glass
spc-children,Let the little children come to me,St. Peter Claver,SPC,"Sheboygan, WI",,Jesus; children,child,stained glass
spc-crucifixion,Crucifixion,St. Peter Claver,SPC,"Sheboygan, WI",Holy Week; Lent,Jesus,cross; crucifixion; death; forgiveness,stained glass
spc-judgment,Final Judgment,St. Peter Claver,SPC,"Sheboygan, WI",End Times,Jesus; angel; angels,judgment; Parousia; heaven; trumpet; instruments; throne; king,stained glass
spc-narthex,Narthex Cross,St. Peter Claver,SPC,"Sheboygan, WI",,,cross,stained glass
spc-palm-sunday,Triumphal Entry,St. Peter Claver,SPC,"Sheboygan, WI",Holy Week,Jesus,donkey; palm; palms,stained glass
spc-pentecost,Descent of the Holy Spirit,St. Peter Claver,SPC,"Sheboygan, WI",Pentecost,Mary; Holy Spirit; apostles,calling; Spirit; Ghost; descent; Church; institution; dove,stained glass
spc-peter,Institution of the Church,St. Peter Claver,SPC,"Sheboygan, WI",,Peter; Jesus; apostles,keys; Church; institution; sheep,stained glass
spc-preaching,Preaching of the Kingdom,St. Peter Claver,SPC,"Sheboygan, WI",,Jesus; apostles,preaching,stained glass
spc-reconciliation1,Baptism of Jesus,St. Peter Claver,SPC,"Sheboygan, WI",Epiphany,John the Baptist; Jesus,Spirit; Ghost; baptism; dove; water; forgiveness; reconciliation,stained glass
spc-reconciliation2,Jesus and the Children,St. Peter Claver,SPC,"Sheboygan, WI",,Jesus,children; forgiveness; reconciliation; child,stained glass
spc-reconciliation3,Jesus the Good Shepherd,St. Peter Claver,SPC,"Sheboygan, WI",,Jesus,sheep; shepherds; forgiveness; reconciliation,stained glass
spc-reconciliation4,Crucifixion of Jesus,St. Peter Claver,SPC,"Sheboygan, WI",Holy Week; Lent,Jesus,cross; crucifixion; death; forgiveness; reconciliation,stained glass
spc-resurrection,Resurrection,St. Peter Claver,SPC,"Sheboygan, WI",Easter,Jesus; angel,resurrection; rose; king,stained glass
spc-temple,Child Jesus in the Temple,St. Peter Claver,SPC,"Sheboygan, WI",Holy Family,Jesus,children; temple; child,stained glass
spc-trial,Jesus on Trial,St. Peter Claver,SPC,"Sheboygan, WI",Holy Week,Jesus; Pilate,judgment; king,stained glass
